problem_size,condition_number,matrix_type,method,iterations,time,final_residual,relative_error
2000,1000000.0,SPD Dense,"PCG (Inverse, SciPy)",2,0.0042779226787388325,0.00019010614783223235,1.0409386353220794e-10
2000,1000000.0,Banded,Gaussian Elimination,0,0.1661153039894998,4.751228261489898e-09,5.15353257299005e-16
2000,1000000.0,Banded,Steepest Descent,10001,8.792222652118653,433.7237942362969,0.23572330009238285
2000,1000000.0,Banded,CG (Custom),2506,2.1743767051957548,0.08814838922488649,1.8686842297105165e-05
2000,1000000.0,Banded,CG (SciPy),2449,4.2337890509516,0.08124653489886702,1.9736339432839473e-05
2000,1000000.0,Banded,PCG (Jacobi),14,0.03916803281754255,0.016222382234840484,1.2215301960543249e-05
2000,1000000.0,Banded,"PCG (Jacobi, SciPy)",15,0.04174455534666777,0.016222382415913186,1.2215301960543249e-05
2000,1000000.0,Banded,PCG (Inverse),1,0.28851150581613183,2.9930587966655452e-09,6.310685118776357e-16
2000,1000000.0,Banded,"PCG (Inverse, SciPy)",2,0.004550211131572723,2.9930587966655452e-09,6.310685118776357e-16
5000,100.0,SPD Dense,Gaussian Elimination,0,2.0572975128889084,3.149539482148591e-12,1.0653142281858447e-14
5000,100.0,SPD Dense,Steepest Descent,643,8.016893460415304,2.2801713294417808e-05,2.2918022682924961e-07
5000,100.0,SPD Dense,CG (Custom),84,0.8210045238956809,2.0640469564310983e-05,6.43034141806394e-08
5000,100.0,SPD Dense,CG (SciPy),85,1.5533039518631995,2.0640469558152884e-05,6.430341434991856e-08
5000,100.0,SPD Dense,PCG (Jacobi),73,1.7996091549284756,1.8764578266588763e-05,5.450681465463113e-08
5000,100.0,SPD Dense,"PCG (Jacobi, SciPy)",74,2.6566248959861696,1.876457823184925e-05,5.450681422538464e-08
5000,100.0,SPD Dense,PCG (Inverse),1,3.88049388397485,1.4581467252313048e-11,1.19182035410542e-14
5000,100.0,SPD Dense,"PCG (Inverse, SciPy)",2,0.03136685490608215,1.4581467252313048e-11,1.19182035410542e-14
5000,100.0,Banded,Gaussian Elimination,0,1.6603690809570253,3.4732556832364312e-12,1.4779169376231525e-14
5000,100.0,Banded,Steepest Descent,10001,110.47333935182542,1.5938639963130222e+153,4.0352721646676555e+149
5000,100.0,Banded,CG (Custom),1308,15.228524821810424,2.952588682810892e-05,1.7661854108316956e-07
5000,100.0,Banded,CG (SciPy),1446,30.500612762290984,3.2255085537526954e-05,1.580689618941702e-07
